SerialID,site,Subplot
20907917,cairngorms,SUM2
20907920,cairngorms,INT1
20907926,cairngorms,SUM1
20907927,cairngorms,INT2
20907955,cairngorms,TR2
20907955,cairngorms,TR1
94221281,BC_coastal,Tricouni_1
94221281,BC_coastal,Tricouni_2
94221282,BC_coastal,Tricouni_3
94221283,BC_coastal,Semaphore_1
94221285,BC_coastal,Brandywine_2
94221286,BC_coastal,Brandywine_1
94221288,BC_coastal,Semaphore_3
94221284,BC_coastal,Semaphore_2
94221289,BC_coastal,Brandywine_3
94217207,kluane,2
94217216,kluane,8
94217218,kluane,KPALP1
94217219,kluane,KPALP2
94217220,kluane,KPALP3
94217208,kluane,7
94217209,kluane,3
94217210,kluane,5
94217211,kluane,9
94217215,kluane,6
94217217,kluane,4
94217206,kluane,1
94213641,toolik,TFS1
94213642,toolik,TFS2
94213643,toolik,TFS3
94213644,toolik,TFS4
94213648,toolik,TFS5
94213646,toolik,block
94213649,toolik,greenhouse
94213647,toolik,block
94213648,toolik,TFS6
94213648,toolik,TFS7
94213648,toolik,TFS8
94213648,toolik,TFS9
94213648,toolik,TFS10
94213648,toolik,TFS11
sn_08,niwot,8A
sn_11,niwot,11A
sn_12,niwot,12A
sn_13,niwot,13A
sn_08,niwot,8B
sn_11,niwot,11B
sn_12,niwot,12B
sn_13,niwot,13B
sn_08,niwot,8C
sn_11,niwot,11C
sn_12,niwot,12C
sn_13,niwot,13C