site,lat,lon,Type
Cairngorms,57.07,-3.49,In Person
Qikiqtaruk,70.4928,-147.2923,In Person
Niwot Ridge,40.059457,-105.616993,Coordinated Samples
Utqiagvik,71.288349,-156.77261,Coordinated Samples
Abisko,68.346201,18.830636,Coordinated Samples
Toolik Lake,68.628275,-149.59412,Coordinated Samples
Kluane,61.285046,-138.9287,In Person
BC Coastal Mountains,50.042282,-123.1929,Coordinated Samples
Finnmark,69.32724,25.337724,Coordinated Samples
Svalbard,78.186313,15.984797,Coordinated Samples
Swiss Alps,46.46,9.5,Coordinated Samples
Healy ,63.670062,-148.27434,Coordinated Samples
Alexandra Fiord,78.54,-76,In Person
Arctic Station,69.15,-53.34,Coordinated Samples
Disko,69,-52,Coordinated Samples
Saana,69.02,20.51,Coordinated Samples